National ID,First Name,Last Name,Email,Department,Active
23947144910,Aynur,Karabulut,aynur.karabulut@musaade.com,Sales,True
12804479714,Nurettin,Turgut,nurettin.turgut@musaade.com,Research,True
75095108515,Cemil,Akyol,cemil.akyol@musaade.com,Human Resources,True
24135551415,Songul,Arslan,songul.arslan@musaade.com,Marketing,True
20597060687,Yunus,Deniz,yunus.deniz@musaade.com,Management,True
54634813397,Zeliha,Uslu,zeliha.uslu@musaade.com,Logistics,True
36230280532,Hulya,Tekin,hulya.tekin@musaade.com,Management,True
13939533569,Neslihan,Cam,neslihan.cam@musaade.com,Logistics,True
50715054121,Yasar,Karakus,yasar.karakus@musaade.com,Logistics,True
51092417739,Ferhat,Ayhan,ferhat.ayhan@musaade.com,Marketing,True
11701122441,Sabri,Durmaz,sabri.durmaz@musaade.com,Management,True
21784403494,Levent,Kilic,levent.kilic@musaade.com,Marketing,True
15089626314,Ekrem,Bayram,ekrem.bayram@musaade.com,Logistics,True
28067559351,Zeki,Ilhan,zeki.ilhan@musaade.com,Sales,True
88361108404,Abdullah,Uysal,abdullah.uysal@musaade.com,Sales,True
15405814570,Havva,Kartal,havva.kartal@musaade.com,Logistics,True
30069512671,Derya,Bektas,derya.bektas@musaade.com,Research,True
45128127702,Selahattin,Kose,selahattin.kose@musaade.com,Research,True
85046813367,Serpil,Ciftci,serpil.ciftci@musaade.com,Sales,True
21228194527,Hasan,Sen,hasan.sen@musaade.com,Research,True
39989664123,Sinan,Koc,sinan.koc@musaade.com,Human Resources,True
26906113514,Nuran,Karadag,nuran.karadag@musaade.com,Research,True
33424061807,Serife,Dinc,serife.dinc@musaade.com,Logistics,True
14249890754,Makbule,Gokce,makbule.gokce@musaade.com,Logistics,True
17372932799,Nurten,Erol,nurten.erol@musaade.com,Logistics,True
23281364184,Mesut,Karatas,mesut.karatas@musaade.com,Research,True
66132864141,Gonul,Seker,gonul.seker@musaade.com,Sales,True
12496387001,Filiz,Ozdemir,filiz.ozdemir@musaade.com,Logistics,True
18318821219,Fatma,Bulut,fatma.bulut@musaade.com,Management,True
26868683212,Yilmaz,Demir,yilmaz.demir@musaade.com,Development,True
56205860636,Zehra,Gundogdu,zehra.gundogdu@musaade.com,Management,True
13542024090,Hanife,Ozcan,hanife.ozcan@musaade.com,Logistics,True
93761530474,Canan,Dogan,canan.dogan@musaade.com,Research,True
20509598975,Semra,Topcu,semra.topcu@musaade.com,Management,True
12220694139,Nuray,Celebi,nuray.celebi@musaade.com,Logistics,True
32115381281,Aydin,Tuncer,aydin.tuncer@musaade.com,Sales,True
26281531721,Safiye,Ipek,safiye.ipek@musaade.com,Research,True
14615648321,Mustafa,Coban,mustafa.coban@musaade.com,Research,True
20287421764,Mehmet,Aksu,mehmet.aksu@musaade.com,Logistics,True
21681606450,Harun,Unal,harun.unal@musaade.com,Human Resources,True
24577047950,Arif,Bayraktar,arif.bayraktar@musaade.com,Management,True
16044770727,Gullu,Gul,gullu.gul@musaade.com,Sales,True
12341760155,Irfan,Karakaya,irfan.karakaya@musaade.com,Research,True
25405293063,Yusuf,Ince,yusuf.ince@musaade.com,Development,True
25230291824,Cengiz,Bilgin,cengiz.bilgin@musaade.com,Sales,True
21460128881,Nuriye,Aygun,nuriye.aygun@musaade.com,Research,True
45920818432,Ugur,Yucel,ugur.yucel@musaade.com,Logistics,True
19316789386,Keziban,Sonmez,keziban.sonmez@musaade.com,Marketing,True
17989808265,Yeter,Yavuz,yeter.yavuz@musaade.com,Logistics,True
18887184894,Adem,Sarikaya,adem.sarikaya@musaade.com,Marketing,True
12557561775,Saadet,Acar,saadet.acar@musaade.com,Development,True
13181445283,Kamil,Eren,kamil.eren@musaade.com,Development,True
25829319507,Naciye,Cetinkaya,naciye.cetinkaya@musaade.com,Development,True
27994577548,Mevlut,Genc,mevlut.genc@musaade.com,Research,True
14237220230,Ayten,Korkmaz,ayten.korkmaz@musaade.com,Management,True
13846281886,Melek,Ozkan,melek.ozkan@musaade.com,Management,True
28640412127,Yakup,Zengin,yakup.zengin@musaade.com,Marketing,True
17069525031,Emel,Gok,emel.gok@musaade.com,Management,True
14320416779,Hayriye,Guven,hayriye.guven@musaade.com,Logistics,True
31254168000,Osman,Ay,osman.ay@musaade.com,Logistics,True
28374030836,Serdar,Cakir,serdar.cakir@musaade.com,Sales,True
30076533323,Emine,Aydogan,emine.aydogan@musaade.com,Development,True
24030280605,Recep,Turk,recep.turk@musaade.com,Logistics,True
32765273109,Huriye,Akpinar,huriye.akpinar@musaade.com,Marketing,True
15852348871,Muhammet,Acikgoz,muhammet.acikgoz@musaade.com,Human Resources,True
15814769207,Sema,Er,sema.er@musaade.com,Management,True
25161187256,Sibel,Akbas,sibel.akbas@musaade.com,Development,True
19756204516,Guler,Bozkurt,guler.bozkurt@musaade.com,Logistics,True
18158545353,Selim,Duman,selim.duman@musaade.com,Development,True
27241278513,Perihan,Akar,perihan.akar@musaade.com,Logistics,True
30833328654,Umit,Ercan,umit.ercan@musaade.com,Development,True
29366787526,Emre,Yaman,emre.yaman@musaade.com,Sales,True
24629536170,Erdal,Temel,erdal.temel@musaade.com,Sales,True
22977811589,Erkan,Celik,erkan.celik@musaade.com,Human Resources,True
17407482349,Ahmet,Vural,ahmet.vural@musaade.com,Research,True
24434492704,Kadir,Kurt,kadir.kurt@musaade.com,Development,True
26901856259,Meliha,Keles,meliha.keles@musaade.com,Management,True
21085866607,Hatice,Alkan,hatice.alkan@musaade.com,Logistics,True
21096283723,Hacer,Akgun,hacer.akgun@musaade.com,Sales,True
32543249061,Nermin,Akkus,nermin.akkus@musaade.com,Logistics,True
17007597385,Rabia,Gunduz,rabia.gunduz@musaade.com,Logistics,True
22592670085,Faruk,Turkmen,faruk.turkmen@musaade.com,Logistics,True
32245925323,Onur,Simsek,onur.simsek@musaade.com,Research,True
15854125791,Esra,Ergun,esra.ergun@musaade.com,Sales,True
11343607123,Suleyman,Mutlu,suleyman.mutlu@musaade.com,Management,True
21667617090,Gulsum,Kocak,gulsum.kocak@musaade.com,Management,True
19059952635,Huseyin,Fidan,huseyin.fidan@musaade.com,Development,True
95808232780,Ismail,Inan,ismail.inan@musaade.com,Development,True
76153683641,Rukiye,Tosun,rukiye.tosun@musaade.com,Logistics,True
19909410281,Pinar,Yazici,pinar.yazici@musaade.com,Logistics,True
14878527520,Mahmut,Taskin,mahmut.taskin@musaade.com,Logistics,True
13243912101,Fadime,Unlu,fadime.unlu@musaade.com,Sales,True
84993582238,Ebru,Akbulut,ebru.akbulut@musaade.com,Marketing,True
31760879681,Ayse,Gunay,ayse.gunay@musaade.com,Logistics,True
26038308184,Fatih,Guner,fatih.guner@musaade.com,Management,True
10301786461,Kemal,Karagoz,kemal.karagoz@musaade.com,Management,True
25429565690,Selma,Sari,selma.sari@musaade.com,Logistics,True
25790540433,Veli,Senturk,veli.senturk@musaade.com,Management,True
30577626865,Kenan,Ak,kenan.ak@musaade.com,Research,True
30588318375,Dursun,Keskin,dursun.keskin@musaade.com,Marketing,True
18294752608,Yasemin,Bas,yasemin.bas@musaade.com,Sales,True
19995746998,Halil,Kalkan,halil.kalkan@musaade.com,Sales,True
69336890759,Aysegul,Yalcin,aysegul.yalcin@musaade.com,Sales,True
17527329257,Muharrem,Kara,muharrem.kara@musaade.com,Logistics,True
16176148033,Seher,Ozcelik,seher.ozcelik@musaade.com,Human Resources,True
14798856623,Serap,Aksoy,serap.aksoy@musaade.com,Human Resources,True
10929876745,Feride,Ozen,feride.ozen@musaade.com,Human Resources,True
21273794031,Asiye,Akgul,asiye.akgul@musaade.com,Human Resources,True
67669138923,Sukran,Orhan,sukran.orhan@musaade.com,Management,True
10006795722,Dondu,Ozmen,dondu.ozmen@musaade.com,Human Resources,True
21582946567,Dilek,Duran,dilek.duran@musaade.com,Development,True
29133350801,Omer,Toprak,omer.toprak@musaade.com,Development,True
13196475505,Hava,Ceylan,hava.ceylan@musaade.com,Human Resources,True
27543293666,Sevgi,Demirel,sevgi.demirel@musaade.com,Marketing,True
27113647095,Yuksel,Akin,yuksel.akin@musaade.com,Logistics,True
27920068764,Gulay,Cinar,gulay.cinar@musaade.com,Human Resources,True
18121143000,Hakki,Cicek,hakki.cicek@musaade.com,Development,True
32837341785,Yasin,Albayrak,yasin.albayrak@musaade.com,Marketing,True
22970454400,Ayhan,Esen,ayhan.esen@musaade.com,Development,True
